model,r,g,b
BCC-CSM2-MR,148,25,30
BCC-ESM1,148,25,30
CAMS-CSM1-0,255,255,0
CanESM5,30,76,36
CESM2,67,178,216
CESM2-WACCM,67,178,216
CNRM-CM6-1,145,214,126
CNRM-ESM2-1,145,214,126
E3SM-1-0,255,204,0
EC-EARTH3,124,99,184
EC-EARTH-LR,124,99,184
EC-EARTH3-Veg,124,99,184
GFDL-CM4,35,54,109
GFDL-ESM4,35,54,109
GISS-E2-1-G,119,29,123
GISS-E2-1-H,119,29,123
HadGEM3-GC31-LL,122,139,38
INM-CM4-8,247,67,67
INM-CM5-0,247,67,67
IPSL-CM6A-LR,91,83,174
MIROC6,184,95,182
MRI-ESM2-0,173,255,47
SAM0-UNICON,11,247,200
UKESM1-0-LL,164,60,112
